"07459: Befolkning, etter region, statistikkvariabel og år"

"region";"Personer 2019"
"1501 Ålesund (-1976)";0
"1502 Molde";27001
"1503 Kristiansund  (-2007)";0
"1504 Ålesund";47998
"1505 Kristiansund";24274
"1511 Vanylven";3163
"1514 Sande (Møre og Romsdal)";2493
"1515 Herøy (Møre og Romsdal)";8927
"1516 Ulstein";8609
"1517 Hareid";5155
"1519 Volda";9197
"1520 Ørsta";10857
"1523 Ørskog";2250
"1524 Norddal";1645
"1525 Stranda";4565
"1526 Stordal";947
"1527 Ørskog (-1976)";0
"1528 Sykkylven";7657
"1529 Skodje";4764
"1531 Sula";9271
"1532 Giske";8398
"1534 Haram";9383
"1535 Vestnes";6536
"1539 Rauma";7487
"1543 Nesset";2956
"1545 Midsund";2019
"1546 Sandøy";1238
"1547 Aukra";3539
"1548 Fræna";9800
"1551 Eide";3433
"1554 Averøy";5849
"1556 Frei (-2007)";0
"1557 Gjemnes";2641
"1560 Tingvoll";3045
"1563 Sunndal";7106
"1566 Surnadal";5928
"1567 Rindal (-2018)";0
"1569 Aure (-2005)";0
"1571 Halsa";1574
"1572 Tustna (-2005)";0
"1573 Smøla";2134
"1576 Aure";3553
"1599 Uoppgitt kommune Møre og Romsdal";0
"5001 Trondheim";196159
"5004 Steinkjer";22090
"5005 Namsos";13113
"5011 Hemne";4228
"5012 Snillfjord";999
"5013 Hitra";4694
"5014 Frøya";5068
"5015 Ørland";5334
"5016 Agdenes";1693
"5017 Bjugn";4904
"5018 Åfjord";3340
"5019 Roan";957
"5020 Osen";947
"5021 Oppdal";6975
"5022 Rennebu";2501
"5023 Meldal";3905
"5024 Orkdal";12086
"5025 Røros";5610
"5026 Holtålen";2025
"5027 Midtre Gauldal";6246
"5028 Melhus";16562
"5029 Skaun";8231
"5030 Klæbu";6076
"5031 Malvik";14040
"5032 Selbu";4088
"5033 Tydal";794
"5034 Meråker";2432
"5035 Stjørdal";24028
"5036 Frosta";2632
"5037 Levanger";20254
"5038 Verdal";14933
"5039 Verran";2449
"5040 Namdalseid";1576
"5041 Snåase - Snåsa";2100
"5042 Lierne";1386
"5043 Raarvihke - Røyrvik";482
"5044 Namsskogan";871
"5045 Grong";2374
"5046 Høylandet";1254
"5047 Overhalla";3879
"5048 Fosnes";605
"5049 Flatanger";1103
"5050 Vikna";4578
"5051 Nærøy";5072
"5052 Leka";567
"5053 Inderøy";6804
"5054 Indre Fosen";9988
"5061 Rindal";2028
"1601 Trondheim (-2017)";0
"1612 Hemne (-2017)";0
"1613 Snillfjord (-2017)";0
"1617 Hitra (-2017)";0
"1620 Frøya (-2017)";0
"1621 Ørland (-2017)";0
"1622 Agdenes (-2017)";0
"1624 Rissa (-2017)";0
"1627 Bjugn (-2017)";0
"1630 Åfjord (-2017)";0
"1632 Roan (-2017)";0
"1633 Osen (-2017)";0
"1634 Oppdal (-2017)";0
"1635 Rennebu (-2017)";0
"1636 Meldal (-2017)";0
"1638 Orkdal (-2017)";0
"1640 Røros (-2017)";0
"1644 Holtålen (-2017)";0
"1645 Haltdalen (-1971)";0
"1648 Midtre Gauldal (-2017)";0
"1653 Melhus (-2017)";0
"1657 Skaun (-2017)";0
"1662 Klæbu (-2017)";0
"1663 Malvik (-2017)";0
"1664 Selbu (-2017)";0
"1665 Tydal (-2017)";0
"1699 Uoppgitt kommune Sør-Trøndelag";0
"1702 Steinkjer (-2017)";0
"1703 Namsos (-2017)";0
"1711 Meråker (-2017)";0
"1714 Stjørdal (-2017)";0
"1717 Frosta (-2017)";0
"1718 Leksvik (-2017)";0
"1719 Levanger (-2017)";0
"1721 Verdal (-2017)";0
"1723 Mosvik  (-2011)";0
"1724 Verran (-2017)";0
"1725 Namdalseid (-2017)";0
"1729 Inderøy (-2011)";0
"1736 Snåase - Snåsa (-2017)";0
"1738 Lierne (-2017)";0
"1739 Raarvihke - Røyrvik (-2017)";0
"1740 Namsskogan (-2017)";0
"1742 Grong (-2017)";0
"1743 Høylandet (-2017)";0
"1744 Overhalla (-2017)";0
"1748 Fosnes (-2017)";0
"1749 Flatanger (-2017)";0
"1750 Vikna (-2017)";0
"1751 Nærøy (-2017)";0
"1755 Leka (-2017)";0
"1756 Inderøy (-2017)";0
"1799 Uoppgitt kommune Nord-Trøndelag";0
"1804 Bodø";52024
"1805 Narvik";18630
"1811 Bindal";1450
"1812 Sømna";2014
"1813 Brønnøy";7916
"1814 Brønnøy (-1976)";0
"1815 Vega";1232
"1816 Vevelstad";497
"1818 Herøy (Nordland)";1780
"1820 Alstahaug";7415
"1822 Leirfjord";2320
"1824 Vefsn";13403
"1825 Grane";1493
"1826 Hattfjelldal";1359
